Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Straight-bar wrist roll-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Other,Average,9.5,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-116s-straight-bar-wrist-roll-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-116s-straight-bar-wrist-roll-up-m3-16x9.jpg']"
Barbell glute bridge,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-114s-barbell-glute-bridge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-114s-barbell-glute-bridge-m2-16x9.jpg']"
Clean and press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27b-clean-and-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27b-clean-and-press-m5-16x9.jpg']"
Triceps dip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Body Only,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1m-triceps-dip-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1m-triceps-dip-m2-16x9.jpg']"
Dumbbell farmer's walk,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Other,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30d-dumbbell-farmers-walk-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30d-dumbbell-farmers-walk-m5-16x9.jpg']"
Palms-up wrist curl over bench,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63e-palms-up-wrist-curl-over-bench-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63e-palms-up-wrist-curl-over-bench-m2-16x9.jpg']"
Barbell Full Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m2-16x9.jpg']"
Barbell deficit deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lower Back,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-67e-barbell-deficit-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-67e-barbell-deficit-deadlift-m2-16x9.jpg']"
Barbell Deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-07b-barbell-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-07b-barbell-deadlift-m2-16x9.jpg']"
Single-arm palm-in dumbbell shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-106d-single-arm-palm-in-dumbbell-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-106d-single-arm-palm-in-dumbbell-shoulder-press-m2-16x9.jpg']"
Romanian Deadlift With Dumbbells,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Dumbbell,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9d-dumbbell-stiff-legged-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9d-dumbbell-stiff-legged-deadlift-m2-16x9.jpg']"
Tire flip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,9.4,"['https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-187s-tire-flip-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-187s-tire-flip-m3.jpg']"
Clean Deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.4,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/671/Male/l/671_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/671/Male/l/671_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/671/Male/l/671_3.jpg']"
Elbow plank,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-222a-elbow-plank-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-222a-elbow-plank-m1-16x9.jpg']"
Bottoms Up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m2-16x9.jpg']"
Barbell back squat to box,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-72e-barbell-back-squat-to-box-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-72e-barbell-back-squat-to-box-m2-16x9.jpg']"
Clean and jerk,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26b-clean-and-jerk-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26b-clean-and-jerk-m5-16x9.jpg']"
Single-arm kettlebell push-press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Kettlebells,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-67k-single-arm-kettlebell-push-press-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-67k-single-arm-kettlebell-push-press-m3-16x9.jpg']"
Push-press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-39b-push-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-39b-push-press-m2-16x9.jpg']"
Suspended ab fall-out,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-158s-suspended-ab-fall-out-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-158s-suspended-ab-fall-out-m2.jpg']"
Military press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-41b-military-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-41b-military-press-m2-16x9.jpg']"
Power snatch-,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-35b-power-snatch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-35b-power-snatch-m4-16x9.jpg']"
Sumo deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58b-sumo-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58b-sumo-deadlift-m2-16x9.jpg']"
Hang Clean,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/l/688_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/l/688_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/l/688_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/l/688_4.jpg']"
Dumbbell V-Sit Cross Jab,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Dumbbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51d-dumbbell-v-sit-cross-jab-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51d-dumbbell-v-sit-cross-jab-m2-16x9.jpg']"
Reverse Band Box Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/l/753_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/l/753_2.jpg']"
Standing palms-in shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92d-standing-palms-in-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92d-standing-palms-in-shoulder-press-m2-16x9.jpg']"
Standing cable low-to-high twist,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Cable,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58c-standing-cable-high-to-low-twist-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58c-standing-cable-high-to-low-twist-m2-16x9.jpg']"
Decline EZ-bar skullcrusher,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,E-Z Curl Bar,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47n-decline-ez-bar-skullcrusher-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-47n-decline-ez-bar-skullcrusher-m2-16x9.jpg']"
Standing behind-the-back wrist curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14b-standing-behind-the-back-wrist-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14b-standing-behind-the-back-wrist-curl-m2-16x9.jpg']"
Seated finger curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92s-seated-finger-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92s-seated-finger-curl-m2-16x9.jpg']"
Wide-grip barbell curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22b-wide-grip-barbell-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22b-wide-grip-barbell-curl-m2-16x9.jpg']"
Dumbbell spell caster,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Dumbbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16d-dumbbell-spell-caster-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16d-dumbbell-spell-caster-m5-16x9.jpg']"
Dumbbell floor press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,9.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-40d-dumbbell-floor-press-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-40d-dumbbell-floor-press-m2.jpg']"
Lying Face Down Plate Neck Resistance,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Neck,Other,Average,9.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/l/25_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/l/25_2.jpg']"
Pullups,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Body Only,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m2-16x9.jpg']"
Decline reverse crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-49n-decline-reverse-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-49n-decline-reverse-crunch-m2-16x9.jpg']"
Dumbbell Bench Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Dumbbell,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9e-dumbbell-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9e-dumbbell-bench-press-m2-16x9.jpg']"
